team,home_all,away_all,home_wins,away_wins,home_win_rate,away_win_rate
Africa XI,0,3,0,0,0,0
Asia XI,0,4,0,0,0,0
Australia,104,157,74,74,0.711538462,0.47133758
Bangladesh,38,63,4,4,0.105263158,0.063492063
Canada,0,6,0,0,0,0
England,68,120,36,36,0.529411765,0.3
Hong Kong,0,2,0,0,0,0
ICC World XI,0,4,0,0,0,0
India,96,223,53,53,0.552083333,0.237668161
Kenya,21,43,3,3,0.142857143,0.069767442
Namibia,0,6,0,0,0,0
Netherlands,0,13,0,0,0,0
New Zealand,84,143,46,46,0.547619048,0.321678322
Pakistan,62,243,40,40,0.64516129,0.164609053
Scotland,0,5,0,0,0,0
South Africa,106,153,80,80,0.754716981,0.522875817
Sri Lanka,81,183,66,66,0.814814815,0.360655738
United Arab Emirates,0,7,0,0,0,0
United States of America,0,2,0,0,0,0
West Indies,59,145,30,30,0.508474576,0.206896552
Zimbabwe,75,155,20,20,0.266666667,0.129032258
